video_url,title,description,length,views,upload_date,related_tags,translations,speaker_name,speaker_profession,full_transcript,page_html
https://www.ted.com/talks/lauren_esposito_what_scorpions_can_teach_us_about_brain_tumors,What scorpions can teach us about brain tumors,"Biologist Lauren Esposito argues for the healing potential of deadly scorpion stings. In this fascinating and visual talk, she breaks down the curative properties of scorpion neurotoxin and explains why these much maligned arachnids should be seen as nothing less than evolutionary marvels.",,,2018-10-29T16:30:35+00:00,"['science', 'medicine', 'insects', 'medical research', 'biology']",,Lauren Esposito,Arachnologist,{},
https://www.ted.com/talks/the_ferocious_few_san_francisco,"""San Francisco""","A musical duo from the streets of San Francisco bring a healthy dose of rock-n-roll grit to the TED@IBM stage. With a stripped-down performance of ""San Francisco"", they aim to encourage musicians and fans to question boundaries and push limits.",,,2018-02-12T17:51:59+00:00,"['performance', 'music', 'singer']",,The Ferocious Few,Musical outlaws,{},
https://www.ted.com/talks/djazia_satour_neghmat_erriah_ghounia,"""Neghmat Erriah"" / ""Ghounia""","Accompanied by a piano and her tar -- a single-headed frame drum -- singer Djazia Satour captivates with her brightly textured voice in this performance of two original songs: ""Neghmat Erriah"" and ""Ghounia.""",,,2020-01-24T13:21:13+00:00,"['music', 'creativity', 'anthropology', 'humanity', 'piano', 'performance', 'vocals', 'Africa', 'live music']",,Djazia Satour,"Singer, musician",{},
https://www.ted.com/talks/mike_sempert_good_morning_young_artist_and_ms_metronome,"""Good Morning Young Artist"" and ""Ms. Metronome""","Bay Bridge artist and songwriter Mike Sempert shows his heart through his music, melding folk with Americana and synth-pop, and exploring elements of electronic, orchestral and chamber music. His soulful performance features a duet with singer/songwriter Sonya Cotton.",,,2018-02-12T15:29:52+00:00,"['performance', 'singer', 'guitar']",,Mike Sempert,Musician,{},
https://www.ted.com/talks/blitz_bazawule_wahala_make_you_no_forget_best_i_can,"""Wahala"" / ""Make You No Forget"" / ""Best I Can""","Backed by his band the Mighty Embassy Ensemble, hip-hop artist, filmmaker and TED Fellow Samuel ""Blitz"" Bazawule delivers an electrifying, polyphonic performance of three songs: ""Wahala,"" ""Make You No Forget"" and ""Best I Can.""",,,2020-01-24T13:09:53+00:00,"['music', 'performance', 'TED Fellows', 'Africa', 'art', 'live music', 'culture']",,Blitz Bazawule,"Filmmaker, musician",{},
https://www.ted.com/talks/radio_science_orchestra_prelude_landing_legacy,"""Prelude, Landing, Legacy""","In an odyssey of sound and sight, Radio Science Orchestra performs ""Prelude, Landing, Legacy"" -- a musical spectacle celebrating the 50th anniversary of the moon landing (and the centennial of the theremin).",,,2020-01-24T18:17:55+00:00,"['performance art', 'music', 'sound', 'performance', 'space']",,Radio Science Orchestra,Multimedia performers,{},
https://www.ted.com/talks/rowan_fitzpatrick_and_heart_of_mind_facing_the_future_together,Facing the future together,"Rowan and his band, Heart of Mind, have developed a unique brand of ""colour rock,"" crafted from a wide range of rock influences. Rowan jams with tasty guitar licks and solos, and is also trained in smooth jazz. He often busts out his saxophone in times of need and on the TED@Westpac stage delivers a sweet performance.",,,2018-02-15T20:12:43+00:00,"['performance', 'singer', 'music']",,Rowan Fitzpatrick,Musician,{},
https://www.ted.com/talks/david_witzeneder_the_case_for_vermicomposting,The case for vermicomposting,"In this educational talk, worm farmer David Witzeneder explains how vermicomposting -- the use of worms to break down organic matter -- can empower us to turn household waste into a fertile resource without even leaving our homes.",,,2020-05-29T22:10:52+00:00,"['food', 'sustainability', 'global issues', 'innovation', 'community']",,David Witzeneder,Wormexpert,{},
https://www.ted.com/talks/alexander_leitner_can_time_be_wasted,Can time be wasted?,"What do we mean exactly when we say we're wasting time? Doing something that doesn't help us acquire new skills, money or status? Stop-motion animator Alexander Leitner explains how ""productivity"" is relative and that the many seemingly unproductive things we do during the day can be just as crucial to our wellbeing as the ""important"" stuff.",,,2019-12-09T18:09:48+00:00,"['life', 'personal growth', 'productivity', 'philosophy', 'time']",,Alexander Leitner,Filmmaker,{},
https://www.ted.com/talks/deutsche_philharmonie_merck_part_ii_the_journey_through_time_ruslan_and_lyudmila,"""Part II. The Journey Through Time"" / ""Ruslan and Lyudmila""","Composed by its conductor, Ben Palmer in 2018, the Deutsche Philharmonie Merck performs ""Part II. The Journey Through Time"" to celebrate the 350th anniversary of Merck KGaA, Darmstadt, Germany. This is followed by a second piece by Mikhail Glinka, ""Ruslan and Lyudmila,"" an overture based on a poem by Pushkin, providing a contemplative melody with toiling bravado, soaring strings and notes of inspiration — which one could imagine as the sounds of a working mind struck by brilliance.",,,2019-01-14T22:20:35+00:00,"['performance', 'arts', 'music']",,Deutsche Philharmonie Merck,Orchestra,{},
https://www.ted.com/talks/findlay_napier_and_gillian_frame_jamie_raeburn_baloo_baleerie_twa_recruitin_sergeants,"""Jamie Raeburn"" / ""Baloo Baleerie"" / ""Twa recruitin Sergeants""","Findlay Napier, Gillian Frame and Ali Hutton keep the Scottish folk tradition alive, performing ""Jamie Raeburn,"" ""Baloo Baleerie"" and ""Twa recruitin Sergeants"" -- selections from ""The Ledger"", a series of songs collected by Napier's grandfather.",,,2020-01-24T13:17:39+00:00,"['music', 'performance', 'vocals']",,Findlay Napier,Singer-songwriter,{},
https://www.ted.com/talks/year_in_ideas_2015,,The Year In Ideas 2015.,,,2015-11-30T20:41:15+00:00,[],,,,{},
https://www.ted.com/talks/james_keblas_how_one_city_became_a_music_capital,How one city became a music capital,"Seattle is a city celebrated globally for fostering artistic expression. Producer and arts advocate James Keblas tells the story of Seattle's evolution from conservative town to music capital, and offers advice for citizens looking to keep their local music scenes vibrant.",,,2019-08-19T20:29:31+00:00,"['music', 'art', 'creativity', 'culture', 'community']",,James Keblas,Director,{},
https://www.ted.com/talks/elisabeth_pierre_l_histoire_inedite_des_femmes_a_l_origine_de_la_biere,Et si la bière était féminine ? | Elisabeth Pierre | TEDxToulouse,"Cette présentation a été faite lors d'un événement TEDx local, produit indépendamment des conférences TED. Elisabeth Pierre est passionnée des bières et connaît toutes les facettes de sa boisson préférée. Elle aime aussi casser les stéréotypes et montre combien la bière est en fait plus féminine que masculine. Elisabeth est zythologue, une des quelques femmes experte en bière. Son travail et ses recherches avec des producteurs, chercheurs et cuisiniers ainsi que ses conférences et ses programmes de développement en font une référence sur le sujet. Une grande part de son message insiste sur le lien fort entre la bière et les femmes au travers des siècles.",,,2020-03-28T00:27:45+00:00,"['history', 'women', 'innovation', 'food', 'society']",,Elisabeth Pierre,Zythologist,{},
https://www.ted.com/talks/christian_bailey_the_joys_of_amateur_aviation,The joys of amateur aviation,"Investor and entrepreneur Christian Bailey explores the world of experimental aviation. He shares how he built a plane and flew across the United States, demonstrating that personal air transportation could soon become a viable option for more than just a few thousand hobbyist aviators.",,,2018-12-10T15:48:09+00:00,"['technology', 'flight', 'design', 'transportation', 'invention']",,Christian Bailey,,{},
