video_url,title,description,length,length_in_minutes,views,upload_date,related_tags,translations,speaker_name,speaker_profession,,orig
https://www.ted.com/talks/jr_one_year_of_turning_the_world_inside_out,One year of turning the world inside out,"Street artist JR made a wish in 2011: Join me in a worldwide photo project to show the world its true face. One year after making his TED Prize wish, he shows how giant posters of human faces, pasted in public, are connecting communities, making change, and turning the world inside out.",0:06:16,6.266666667,1291081,2012-05-18T15:05:46+00:00,"['TED Prize', 'community', 'photography', 'art', 'public spaces']","['Bahasa Indonesia', 'Deutsch', 'English', 'Español', 'Français', 'Hrvatski', 'Italiano', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'Հայրեն', 'עברית', 'العربية', 'فارسى', 'हिन्दी', 'ภาษาไทย', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",JR,Street artist,,middle
https://www.ted.com/talks/alice_bows_larkin_climate_change_is_happening_here_s_how_we_adapt,Climate change is happening. Here's how we adapt,"Imagine the hottest day you've ever experienced. Now imagine it's six, 10 or 12 degrees hotter. According to climate researcher Alice Bows-Larkin, that's the type of future in store for us if we don't significantly cut our greenhouse gas emissions now. She suggests that it's time we do things differently—a whole system change, in fact—and seriously consider trading economic growth for climate stability.",0:14:16,14.26666667,1290654,2015-10-05T15:00:00+00:00,"['climate change', 'energy', 'green', 'policy', 'pollution', 'science', 'sustainability', 'infrastructure', 'social change', 'big problems', 'global issues', 'future', 'economics']","['Bahasa Indonesia', 'English', 'Español', 'Français', 'Italiano', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Ελληνικά', 'Русский', 'Українська', 'עברית', 'العربية', 'فارسى', 'हिन्दी', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Alice Bows-Larkin,Climate scholar,,middle
https://www.ted.com/talks/fabien_cousteau_what_i_learned_from_spending_31_days_underwater,What I learned from spending 31 days underwater,"In 1963, Jacques Cousteau lived for 30 days in an underwater laboratory positioned on the floor of the Red Sea, and set a world record in the process. This summer, his grandson Fabien Cousteau broke that record. Cousteau the younger lived for 31 days aboard the Aquarius, an underwater research laboratory nine miles off the coast of Florida. In a charming talk he brings his wondrous adventure to life.",0:10:40,10.66666667,1289416,2014-10-23T15:22:59+00:00,"['adventure', 'biodiversity', 'exploration', 'oceans', 'submarine']","['Bosanski', 'Deutsch', 'English', 'Español', 'Français', 'Hrvatski', 'Italiano', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'עברית', 'العربية', 'فارسى', 'ภาษาไทย', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Fabien Cousteau,Ocean explorer and environmentalist,,middle
https://www.ted.com/talks/yves_behar_designing_objects_that_tell_stories,Designing objects that tell stories,"Designer Yves Béhar digs up his creative roots to discuss some of the iconic objects he's created (the Leaf lamp, the Jawbone headset). Then he turns to the witty, surprising, elegant objects he's working on now -- including the ""$100 laptop.""",0:17:31,17.51666667,1289371,2008-05-21T02:53:00+00:00,"['business', 'computers', 'creativity', 'design', 'sex', 'society']","['Deutsch', 'English', 'Español', 'Français', 'Hrvatski', 'Italiano', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Română', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Русский', 'Українська', 'български', 'עברית', 'العربية', 'کوردی', 'ภาษาไทย', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Yves Béhar,Designer,,middle
https://www.ted.com/talks/dimitar_sasselov_how_we_found_hundreds_of_potential_earth_like_planets,How we found hundreds of potential Earth-like planets,"(NOTE: This talk was given in 2010, and this field of science has developed quickly since then. Read ""Criticisms & updates"" below for more details.) Astronomer Dimitar Sasselov and his colleagues search for Earth-like planets that may, someday, help us answer centuries-old questions about the origin and existence of biological life elsewhere (and on Earth). Preliminary results show that they have found 706 ""candidates"" -- some of which further research may prove to be planets with Earth-like geochemical characteristics.",0:18:15,18.25,1288868,2010-07-21T09:10:00+00:00,"['Planets', 'astronomy', 'biology', 'extraterrestrial life', 'life', 'technology', 'universe', 'telescopes', 'astrobiology']","['Bahasa Indonesia', 'Deutsch', 'English', 'Español', 'Français', 'Italiano', 'Lietuvių kalba', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Slovenčina', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Русский', 'български', 'עברית', 'العربية', 'فارسى', 'ภาษาไทย', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Dimitar Sasselov,Astronomer,,middle
https://www.ted.com/talks/caitlin_doughty_a_burial_practice_that_nourishes_the_planet,A burial practice that nourishes the planet,"Here's a question we all have to answer sooner or later: What do you want to happen to your body when you die? Funeral director Caitlin Doughty explores new ways to prepare us for inevitable mortality. In this thoughtful talk, learn more about ideas for burial (like ""recomposting"" and ""conservation burial"") that return our bodies back to the earth in an eco-friendly, humble and self-aware way.",0:11:46,11.76666667,1287436,2017-03-13T14:59:37+00:00,"['animals', 'choice', 'bacteria', 'death', 'ecology', 'environment', 'family', 'green', 'humanity', 'pollution', 'nature', 'potential', 'sanitation', 'society', 'social change', 'TEDMED']","['Deutsch', 'English', 'Español', 'Français', 'Magyar', 'Português brasileiro', 'Português de Portugal', 'Slovenčina', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Русский', 'Српски, Srpski', 'Українська', 'فارسى', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Caitlin Doughty,Progressive mortician,,middle
https://www.ted.com/talks/michelle_obama_a_passionate_personal_case_for_education,"A passionate, personal case for education","Speaking to an audience of students, US First Lady Michelle Obama reminds each one to take their education seriously -- and never take it for granted. This new, brilliant generation, she tells us, is the one that could close the gap between the world as it is and the world as it should be.",0:11:33,11.55,1287356,2009-05-27T01:00:00+00:00,"['culture', 'education', 'global issues', 'politics', 'women', 'Best of the Web']","['Bahasa Indonesia', 'Català', 'Deutsch', 'English', 'Español', 'Français', 'Hrvatski', 'Italiano', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Slovenčina', 'Suomi', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'Қазақ тілі', 'Հայրեն', 'עברית', 'العربية', 'فارسى', 'नेपाली', 'ภาษาไทย', 'བོད་སྐད་', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Michelle Obama,First Lady of the United States,,middle
https://www.ted.com/talks/gavin_schmidt_the_emergent_patterns_of_climate_change,The emergent patterns of climate change,"You can't understand climate change in pieces, says climate scientist Gavin Schmidt. It's the whole, or it's nothing. In this illuminating talk, he explains how he studies the big picture of climate change with mesmerizing models that illustrate the endlessly complex interactions of small-scale environmental events.",0:11:58,11.96666667,1286760,2014-05-01T15:02:18+00:00,"['climate change', 'environment', 'science', 'visualizations', 'pollution', 'weather', 'future', 'prediction', 'data', 'math', 'algorithm', 'computers', 'code', 'botany', 'water', 'green', 'ecology']","['Deutsch', 'Eesti keel', 'English', 'Español', 'Français', 'Français canadien', 'Italiano', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Tiếng Việt', 'Türkçe', 'Ελληνικά', 'Русский', 'Српски, Srpski', 'עברית', 'العربية', 'فارسى', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Gavin Schmidt,Climate scientist,,middle
https://www.ted.com/talks/mac_stone_stunning_photos_of_the_endangered_everglades,Stunning photos of the endangered Everglades,"For centuries, people have viewed swamps and wetlands as obstacles to avoid. But for photographer Mac Stone, who documents the stories of wildlife in Florida's Everglades, the swamp isn't a hindrance — it's a national treasure. Through his stunning photographs, Stone shines a new light on a neglected, ancient and important wilderness. His message: get out and experience it for yourself. ""Just do it — put your feet in the water,"" he says. ""The swamp will change you, I promise.""",0:19:08,19.13333333,1286440,2015-09-30T16:12:34+00:00,"['TEDx', 'activism', 'animals', 'nature', 'photography', 'birds']","['Deutsch', 'English', 'Español', 'Français', 'Hrvatski', 'Italiano', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Slovenčina', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Ελληνικά', 'Русский', 'Српски, Srpski', 'Українська', 'עברית', 'العربية', 'فارسى', 'ภาษาไทย', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Mac Stone,Photographer,,middle
https://www.ted.com/talks/brian_dettmer_old_books_reborn_as_art,Old books reborn as art,"What do you do with an outdated encyclopedia in the information age? With X-Acto knives and an eye for a good remix, artist Brian Dettmer makes beautiful, unexpected sculptures that breathe new life into old books.",0:05:59,5.983333333,1285593,2015-02-06T16:00:42+00:00,"['TEDYouth', 'art', 'creativity', 'books']","['Bahasa Indonesia', 'Deutsch', 'English', 'Español', 'Français', 'Hrvatski', 'Italiano', 'Lietuvių kalba', 'Magyar', 'Nederlands', 'Polski', 'Português brasileiro', 'Português de Portugal', 'Română', 'Shqip', 'Svenska', 'Tiếng Việt', 'Türkçe', 'Čeština', 'Ελληνικά', 'Монгол', 'Русский', 'Српски, Srpski', 'Українська', 'български', 'עברית', 'العربية', 'فارسى', 'ภาษาไทย', 'မြန်မာဘာသာ', '中文 (简体)', '中文 (繁體)', '日本語', '한국어']",Brian Dettmer,,,middle
